peopleid3rog3,rog3,ctry,peopleid3,peopnameincountry,peopnameacrosscountries,naturalname,population,rog2,continent,regioncode,regionname,10_40window,peopleid1,affinitybloc,peopleid2,peoplecluster,populationpgac,jpscale,leastreached,frontier,workersneeded,rop25,rop25name,rop3,rol3,primarylanguagename,biblestatus,rlg3,primaryreligion,percentadherents,percentevangelical,indigenouscode,photoccversiontext,photoccversionurl,mapccversiontext,mapccversionurl,jf,audiorecordings,longitude,latitude
12526AF,AF,Afghanistan,12526,Karakalpak,Karakalpak,Karakalpak,3500,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",202,Kazakh,924400,1,Y,Y,1,303710,Karakalpak,104638,kaa,Karakalpak,5,6,Islam,0.000,0.000,N,,,,,Y,Y,67.10763,36.66888
12526IR,IR,Iran,12526,Karakalpak,Karakalpak,Karakalpak,57000,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",202,Kazakh,924400,1,Y,Y,1,303710,Karakalpak,104638,kaa,Karakalpak,5,6,Islam,0.000,0.000,N,,,,,Y,Y,57.314195536595,37.476780754628
12526KG,KG,Kyrgyzstan,12526,Karakalpak,Karakalpak,Karakalpak,1300,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",202,Kazakh,924400,1,Y,Y,1,303710,Karakalpak,104638,kaa,Karakalpak,5,6,Islam,0.000,0.000,N,,,,,Y,Y,72.978813670414,40.933155530004
12526KZ,KZ,Kazakhstan,12526,Karakalpak,Karakalpak,Karakalpak,3600,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",202,Kazakh,924400,1,Y,Y,1,303710,Karakalpak,104638,kaa,Karakalpak,5,6,Islam,0.000,0.000,N,,,,,Y,Y,62.150743650299,45.849053470042
12526RS,RS,Russia,12526,Karakalpak,Karakalpak,Karakalpak,800,ASI,Asia,9,"Europe, Eastern and Eurasia",N,24,"Turkic Peoples",202,Kazakh,924400,1,Y,Y,1,303710,Karakalpak,104638,kaa,Karakalpak,5,6,Islam,0.000,0.000,N,,,,,Y,Y,37.613158,55.699759
12526TU,TU,"Türkiye (Turkey)",12526,Karakalpak,Karakalpak,Karakalpak,84000,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",202,Kazakh,924400,1,Y,Y,2,303710,Karakalpak,104638,kaa,Karakalpak,5,6,Islam,0.000,0.000,N,,,,,Y,Y,44.056033247836,39.928935581112
12526TX,TX,Turkmenistan,12526,Karakalpak,Karakalpak,Karakalpak,6200,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",202,Kazakh,924400,1,Y,Y,1,303710,Karakalpak,104638,kaa,Karakalpak,5,6,Islam,0.000,0.000,N,,,,,Y,Y,59.729580558696,42.253973308422
12526UZ,UZ,Uzbekistan,12526,"Karakalpak, Black Hat",Karakalpak,Karakalpak,768000,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",202,Kazakh,924400,1,Y,N,15,303710,Karakalpak,104638,kaa,Karakalpak,5,6,Islam,0.400,0.400,Y,,,,,Y,Y,59.83532,43.05521
17092IN,IN,India,17092,"Karal (Hindu traditions)","Karal (Hindu traditions)","Karal (Hindu traditions)",12000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",12000,1,Y,Y,1,303711,Karal,112432,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,72.014316283374,23.11433862563
19433PK,PK,Pakistan,19433,"Karal (Muslim traditions)","Karal (Muslim traditions)","Karal (Muslim traditions)",237000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",237000,1,Y,Y,5,303711,Karal,115569,hno,"Hindko, Northern",3,6,Islam,0.000,0.000,Y,,,,,Y,Y,73.36017108986,34.665917216609
17093IN,IN,India,17093,Karan,Karan,Karan,627000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",627000,1,Y,N,13,303847,Kayastha,112433,ory,Odia,5,5,Hinduism,0.132,,Y,,,,,Y,Y,86.630480307337,21.328961296108
19049CD,CD,Chad,19049,Karanga,Karanga,Karanga,25000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",264,Ouaddai-Fur,25000,1,Y,N,1,303716,Karanga,115259,kth,Karanga,1,6,Islam,4.000,1.000,Y,,,,,N,N,20.51164,13.0123
18831BR,BR,Brazil,18831,Karapoto,Karapoto,Karapoto,2400,LAM,"South America",11,"America, Latin",N,16,"Latin-Caribbean Americans",290,"South American Indigenous",2400,1,Y,N,1,303720,Karapoto,114618,por,Portuguese,5,4,"Ethnic Religions",5.000,0.000,Y,,,,,Y,Y,-36.585898333333,-9.9785883055556
12532RS,RS,Russia,12532,Karata,Karata,Karata,6600,ASI,Asia,9,"Europe, Eastern and Eurasia",N,12,"Eurasian Peoples",157,Caucasus,6600,1,Y,Y,1,303722,Karatin,104651,kpt,Karata,0,6,Islam,0.000,0.000,Y,"CC BY 2.0",https://creativecommons.org/licenses/by/2.0/,,,N,N,46.32582,42.64964
16042BM,BM,"Myanmar (Burma)",16042,"Karen, Yintale","Karen, Yintale","Yintale Karen",1000,ASI,Asia,2,"Asia, Southeast",Y,23,"Tibetan-Himalayan Peoples",200,Karen,1000,1,Y,Y,1,303732,Karen,111073,kvy,Yintale,4,2,Buddhism,0.010,0.000,Y,,,,,N,Y,97.34163,18.90174
17104BG,BG,Bangladesh,17104,Karenga,Karenga,Karenga,1700,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",50700,1,Y,Y,1,303733,Karenga,112446,ben,Bengali,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,89.497776939778,25.066865604437
17104IN,IN,India,17104,Karenga,Karenga,Karenga,49000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",50700,1,Y,N,1,303733,Karenga,112446,ben,Bengali,5,5,Hinduism,0.193,,Y,,,,,Y,Y,87.878273905916,22.642059829612
17099IN,IN,India,17099,Karimpalan,Karimpalan,Karimpalan,24000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",24000,1,Y,Y,1,303739,Karimplan,112440,mal,Malayalam,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,75.657852480264,11.928111018048
12541IR,IR,Iran,12541,Karingani,Karingani,Karingani,24000,ASI,Asia,5,"Asia, Central",Y,14,Persian-Median,300,Talysh,24000,1,Y,Y,1,303740,Karingani,104669,kgn,Karingani,0,6,Islam,0.000,0.000,Y,"CC BY 2.0",https://creativecommons.org/licenses/by/2.0/,,,N,N,47.43288,38.5656
12545NI,NI,Nigeria,12545,Kariya,Kariya,Kariya,4800,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",158,"Chadic  ",4800,1,Y,N,1,303745,Kariya,104675,kil,Kariya,0,6,Islam,4.100,1.900,Y,,,,,N,Y,9.64522,11.00825
11825SU,SU,Sudan,11825,Karko,Karko,Karko,28000,AFR,Africa,7,"Africa, East and Southern",Y,22,"Sub-Saharan Peoples",248,"Nuba Mountains",28000,1,Y,Y,1,302585,"Garko (Karko)",103230,kko,Karko,2,6,Islam,0.000,0.000,Y,,,,,N,N,29.22415,12.09654
10386SU,SU,Sudan,10386,"Karko, Arabized","Karko, Arabized","Arabized Karko",30000,AFR,Africa,7,"Africa, East and Southern",Y,22,"Sub-Saharan Peoples",249,Nubian,30000,1,Y,N,1,300436,"Arabized Karko",100439,apd,"Arabic, Sudanese",4,6,Islam,1.000,0.200,Y,,,,,Y,Y,29.343284252484,15.70466594164
17102BG,BG,Bangladesh,17102,Karmali,Karmali,Karmali,5300,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",158300,1,Y,N,1,303749,Karmali,112444,syl,Sylheti,4,5,Hinduism,2.700,,Y,"CC BY-NC-SA 2.0",https://creativecommons.org/licenses/by-nc-sa/2.0/,,,Y,Y,91.928575,24.934255
17102IN,IN,India,17102,Karmali,Karmali,Karmali,153000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",158300,1,Y,N,3,303749,Karmali,112444,mai,Maithili,4,5,Hinduism,0.114,,Y,"CC BY-NC-SA 2.0",https://creativecommons.org/licenses/by-nc-sa/2.0/,,,Y,Y,85.764542141929,21.718669771832
17105IN,IN,India,17105,Karnam,Karnam,Karnam,99000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",419,"South Asia Forward Caste - other",99000,1,Y,Y,2,307583,Karnam,112447,ory,Odia,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,85.054193,19.380912
12553IN,IN,India,12553,Karua,Karua,Karua,8700,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",8700,1,Y,Y,1,303761,"Karua (South Asian)",104694,ory,Odia,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,86.99611825725,22.22855139198
20070BR,BR,Brazil,20070,Karuazu,Karuazu,Karuazu,800,LAM,"South America",11,"America, Latin",N,16,"Latin-Caribbean Americans",108,Amazon,800,1,Y,Y,1,303762,Karuazu,115119,por,Portuguese,5,4,"Ethnic Religions",0.000,0.000,Y,,,,,Y,Y,-38.013801666667,-9.2843983333333
17107IN,IN,India,17107,Karwal,Karwal,Karwal,9500,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",9500,1,Y,Y,1,303765,Karwal,112450,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,78.414749391909,28.304010021931
17110BG,BG,Bangladesh,17110,"Kasar (Hindu traditions)","Kasar (Hindu traditions)","Kasar (Hindu traditions)",8800,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",797300,1,Y,Y,1,303669,Kansari,112453,ben,Bengali,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,89.436689543523,23.379695139776
17110IN,IN,India,17110,"Kasar (Hindu traditions)","Kasar (Hindu traditions)","Kasar (Hindu traditions)",785000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",797300,1,Y,Y,16,303669,Kansari,112453,mar,Marathi,5,5,Hinduism,0.021,,Y,,,,,Y,Y,78.994894479353,17.43826043699
21155IN,IN,India,21155,"Kasar Otari","Kasar Otari","Kasar Otari",27000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",27000,1,Y,Y,1,303768,"Kasar Otari",117978,tel,Telugu,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,84.680822505459,19.644825053985
16931IN,IN,India,16931,"Kasbati (Hindu traditions)","Kasbati (Hindu traditions)","Kasbati (Hindu traditions)",1700,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",1700,1,Y,Y,1,303769,Kasbati,112233,guj,Gujarati,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,71.747534938646,21.453643018356
17108IN,IN,India,17108,"Kasbati (Muslim traditions)","Kasbati (Muslim traditions)","Kasbati (Muslim traditions)",12000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",12000,1,Y,Y,1,307388,"Sepahi Sindhi",112451,guj,Gujarati,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,72.901569450735,23.679608995287
22466SU,SU,Sudan,22466,Kasha,Kasha,Kasha,14000,AFR,Africa,7,"Africa, East and Southern",Y,22,"Sub-Saharan Peoples",248,"Nuba Mountains",14000,1,Y,Y,1,,,119459,apd,"Arabic, Sudanese",4,6,Islam,0.000,0.000,Y,,,,,Y,Y,29.15,12
12558IN,IN,India,12558,"Kashmiri (Muslim traditions)","Kashmiri (Muslim traditions)","Kashmiri (Muslim traditions)",7945000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",9256000,1,Y,Y,159,303772,Kashmiri,104709,kas,Kashmiri,5,6,Islam,0.000,0.000,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,75.026414469354,34.467238305935
12558PK,PK,Pakistan,12558,"Kashmiri (Muslim traditions)","Kashmiri (Muslim traditions)","Kashmiri (Muslim traditions)",1311000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",9256000,1,Y,Y,26,303772,Kashmiri,104709,hno,"Hindko, Northern",3,6,Islam,0.000,0.000,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,73.294926000035,34.112544999652
21654TI,TI,Tajikistan,21654,Kataghan,Kataghan,Kataghan,9700,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",314,Uzbek,9700,1,Y,Y,1,303783,Kataghan,118434,uzn,"Uzbek, Northern",5,6,Islam,0.000,0.000,N,,,,,Y,Y,68.75,38.53
12566LA,LA,Laos,12566,"Katang, Northern","Katang, Northern","Northern Katang",71000,ASI,Asia,2,"Asia, Southeast",Y,20,"Southeast Asian Peoples",239,Mon-Khmer,71000,1,Y,Y,1,303784,Katang,104721,ncq,"Katang, Northern",4,4,"Ethnic Religions",0.080,0.075,Y,"CC BY-SA 3.0",https://creativecommons.org/licenses/by-sa/3.0/,,,Y,Y,106.4037,16.25265
21062LA,LA,Laos,21062,"Katang, Southern","Katang, Southern","Southern Katang",44000,ASI,Asia,2,"Asia, Southeast",Y,20,"Southeast Asian Peoples",239,Mon-Khmer,44000,1,Y,Y,1,303784,Katang,117892,sct,"Katang, Southern",3,4,"Ethnic Religions",0.080,0.075,Y,,,,,N,Y,106.392717,15.719023
17300IN,IN,India,17300,Kathodi,Kathodi,Kathodi,371000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",371000,1,Y,N,7,303803,Katkari,112678,mar,Marathi,5,5,Hinduism,0.308,,Y,,,,,Y,Y,73.531681569681,18.61284423768
20602CH,CH,China,20602,Kathu,Kathu,Kathu,5500,ASI,Asia,3,"Asia, Northeast",Y,23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",5500,1,Y,Y,1,303796,Kathu,116869,ykt,Kathu,1,4,"Ethnic Religions",0.000,0.000,Y,,,,,N,N,105.068759,24.051536
17112IN,IN,India,17112,Katia,Katia,Katia,259000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",259000,1,Y,Y,5,303798,Katia,112457,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,79.035838924006,22.251500510333
12572SU,SU,Sudan,12572,Katla,Katla,Katla,31000,AFR,Africa,7,"Africa, East and Southern",Y,22,"Sub-Saharan Peoples",248,"Nuba Mountains",31000,1,Y,Y,1,303804,Katla,104738,kcr,Katla,2,6,Islam,0.000,0.000,Y,,,,,N,Y,29.26683,11.78855
21643BR,BR,Brazil,21643,Katokim,Katokim,Katokim,900,LAM,"South America",11,"America, Latin",N,16,"Latin-Caribbean Americans",108,Amazon,900,1,Y,Y,1,303806,Katokim,118412,por,Portuguese,5,4,"Ethnic Religions",0.000,0.000,Y,,,,,Y,Y,-38.02484,-9.22089
19683CH,CH,China,19683,Katso,Katso,Katso,8300,ASI,Asia,3,"Asia, Northeast",Y,11,"East Asian Peoples",238,Mongolian,8300,1,Y,Y,1,303809,Katso,115846,kaf,Katso,1,4,"Ethnic Religions",0.050,0.050,Y,,,,,N,N,102.48499,24.56029
17305IN,IN,India,17305,Kattunayakan,Kattunayakan,Kattunayakan,79000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",79000,1,Y,N,2,303811,Kattunayakan,112684,tam,Tamil,5,5,Hinduism,0.490,,Y,,,,,Y,Y,76.84554632198,12.219372251894
12573VM,VM,Vietnam,12573,"Katu, Eastern","Katu, Eastern","Eastern Katu",75000,ASI,Asia,2,"Asia, Southeast",Y,20,"Southeast Asian Peoples",239,Mon-Khmer,75000,1,Y,N,2,303812,Katu,104746,ktv,"Katu, Eastern",4,4,"Ethnic Religions",1.000,0.590,Y,,,,,N,Y,107.64367000027,15.855339999741
12503LA,LA,Laos,12503,"Katu, Western","Katu, Western","Western Katu",30000,ASI,Asia,2,"Asia, Southeast",Y,20,"Southeast Asian Peoples",239,Mon-Khmer,30000,1,Y,N,1,303673,Kantu,104595,kuf,"Katu, Western",0,4,"Ethnic Religions",1.000,0.800,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,N,N,106.67131249458,16.254128350443
12578ID,ID,Indonesia,12578,Kaur,Kaur,Kaur,46000,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",266,"Pasemah of Sumatra",46000,1,Y,Y,1,303819,Kaur,104755,vkk,Kaur,3,6,Islam,0.000,0.000,Y,,,,,Y,N,103.48505,-4.66382
22390SU,SU,Sudan,22390,Kauyaru,Kauyaru,Kauyaru,6300,AFR,Africa,7,"Africa, East and Southern",Y,22,"Sub-Saharan Peoples",248,"Nuba Mountains",6300,1,Y,Y,1,0,,119388,fuj,Ko,2,6,Islam,0.000,0.000,Y,,,,,N,N,31.5,10.7
17117IN,IN,India,17117,Kavara,Kavara,Kavara,91000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",91000,1,Y,Y,2,303832,Kawara,112463,tam,Tamil,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,77.009518109683,11.421023838222
17118IN,IN,India,17118,Kavathi,Kavathi,Kavathi,25000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",25000,1,Y,Y,1,303823,Kavathi,112464,tam,Tamil,5,5,Hinduism,0.096,,Y,,,,,Y,Y,77.542134455858,8.7734322018523
17121IN,IN,India,17121,Kavuthiyan,Kavuthiyan,Kavuthiyan,35000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",35000,1,Y,Y,1,303825,Kavuthiyan,112467,mal,Malayalam,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,75.941686928935,12.500409138
19401CH,CH,China,19401,Kawa,"Wa, Vo",Kawa,93000,ASI,Asia,3,"Asia, Northeast",Y,20,"Southeast Asian Peoples",239,Mon-Khmer,93700,1,Y,N,2,308522,"Wa / Kawa",110596,wbm,"Wa, Vo",5,4,"Ethnic Religions",0.200,0.200,Y,,,,,Y,Y,99.584490000413,22.620480000052
12583SU,SU,Sudan,12583,"Kawahia, Fezara",Kawahia,Kawahia,1115000,AFR,Africa,7,"Africa, East and Southern",Y,10,"Arab World",117,"Arab, Sudan",1115000,1,Y,N,22,303828,Kawahia,104767,apd,"Arabic, Sudanese",4,6,Islam,4.100,0.800,Y,,,,,Y,Y,23.457706000132,14.133955999969
17122BG,BG,Bangladesh,17122,Kawar,Kawar,Kawar,4000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",1190500,1,Y,Y,1,303831,"Kawar (South Asian)",112468,ben,Bengali,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,90.525259734186,24.502452879272
17122IN,IN,India,17122,Kawar,Kawar,Kawar,1185000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",1190500,1,Y,N,24,303831,"Kawar (South Asian)",112468,hin,Hindi,5,5,Hinduism,0.116,,Y,,,,,Y,Y,83.241218676483,23.216523166922
17122NP,NP,Nepal,17122,Kawar,Kawar,Kawar,1500,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",1190500,1,Y,Y,1,303831,"Kawar (South Asian)",112468,mai,Maithili,4,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,87.539525897708,26.798645623978
19133BR,BR,Brazil,19133,Kaxixo,Kaxixo,Kaxixo,300,LAM,"South America",11,"America, Latin",N,16,"Latin-Caribbean Americans",290,"South American Indigenous",300,1,Y,N,1,303836,Kaxixo,114985,por,Portuguese,5,4,"Ethnic Religions",2.000,1.000,Y,,,,,Y,Y,-45.071964,-19.341103
12588MY,MY,Malaysia,12588,Kayaman,Kayaman,Kayaman,1200,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",155,Borneo-Kalimantan,1200,1,Y,N,1,303841,Kayaman,104776,kag,Kajaman,2,4,"Ethnic Religions",4.000,0.500,Y,,,,,N,N,113.90197,2.74152
12591ID,ID,Indonesia,12591,"Kayan, Kayan River","Kayan, Kayan River","Kayan River Kayan",3700,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",155,Borneo-Kalimantan,3700,1,Y,N,1,303843,"Kayan (Kalimantan)",104780,xkn,"Kayan, Kayan River",1,4,"Ethnic Religions",2.000,0.000,Y,,,,,N,Y,115.87521,1.94085
12590ID,ID,Indonesia,12590,"Kayan, Mahakam","Kayan, Mahakam","Mahakam Kayan",2200,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",155,Borneo-Kalimantan,2200,1,Y,N,1,303843,"Kayan (Kalimantan)",104778,xay,"Kayan Mahakam",1,4,"Ethnic Religions",5.000,2.000,Y,,,,,N,N,114.54005,0.81609
12592ID,ID,Indonesia,12592,"Kayan, Mendalam","Kayan, Mendalam","Mendalam Kayan",2800,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",155,Borneo-Kalimantan,2800,1,Y,N,1,303843,"Kayan (Kalimantan)",104781,xkd,"Kayan, Mendalam",1,4,"Ethnic Religions",4.000,1.000,Y,,,,,N,N,113.18409,1.01615
17124BG,BG,Bangladesh,17124,"Kayastha (Hindu traditions)","Kayastha (Hindu traditions)","Kayastha (Hindu traditions)",1503000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",431,"South Asia Hindu - Kayastha",8846600,1,Y,Y,30,303847,Kayastha,112470,ben,Bengali,5,5,Hinduism,0.044,,Y,,,,,Y,Y,92.170611040711,22.904939040561
17124BT,BT,Bhutan,17124,"Kayastha (Hindu traditions)","Kayastha (Hindu traditions)","Kayastha (Hindu traditions)",1600,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",431,"South Asia Hindu - Kayastha",8846600,1,Y,Y,1,303847,Kayastha,112470,ben,Bengali,5,5,Hinduism,0.000,0.000,N,,,,,Y,Y,89.406838,26.872027
17124IN,IN,India,17124,"Kayastha (Hindu traditions)","Kayastha (Hindu traditions)","Kayastha (Hindu traditions)",7290000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",431,"South Asia Hindu - Kayastha",8846600,1,Y,Y,146,303847,Kayastha,112470,hin,Hindi,5,5,Hinduism,0.029,,Y,,,,,Y,Y,88.419241441287,22.873333144829
17124NP,NP,Nepal,17124,"Kayastha (Hindu traditions)","Kayastha (Hindu traditions)","Kayastha (Hindu traditions)",52000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",431,"South Asia Hindu - Kayastha",8846600,1,Y,N,1,303847,Kayastha,112470,mai,Maithili,4,5,Hinduism,0.414,,Y,,,,,Y,Y,86.72082408145,27.12567566543
21156BG,BG,Bangladesh,21156,"Kayastha Karan","Kayastha Karan","Karan Kayastha",259000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",431,"South Asia Hindu - Kayastha",902000,1,Y,Y,5,303847,Kayastha,117979,ben,Bengali,5,5,Hinduism,0.050,,Y,"CC BY 3.0",https://creativecommons.org/licenses/by/3.0/,,,Y,Y,91.854152439686,22.449726349708
21156IN,IN,India,21156,"Kayastha Karan","Kayastha Karan","Karan Kayastha",643000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",431,"South Asia Hindu - Kayastha",902000,1,Y,Y,13,303847,Kayastha,117979,ben,Bengali,5,5,Hinduism,0.000,0.000,Y,"CC BY 3.0",https://creativecommons.org/licenses/by/3.0/,,,Y,Y,88.395596935069,22.521678875148
21325IN,IN,India,21325,"Kayastha Mathur","Kayastha Mathur","Mathur Kayastha",44000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",431,"South Asia Hindu - Kayastha",44000,1,Y,Y,1,303847,Kayastha,118153,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,78.114067784259,27.930635509432
21326IN,IN,India,21326,"Kayastha Saksena","Kayastha Saksena","Saksena Kayastha",353000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",431,"South Asia Hindu - Kayastha",353000,1,Y,Y,7,303847,Kayastha,118154,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,79.414958737183,28.451415098884
21327IN,IN,India,21327,"Kayastha Sribastab","Kayastha Sribastab","Sribastab Kayastha",1139000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",431,"South Asia Hindu - Kayastha",1140200,1,Y,Y,23,303847,Kayastha,118155,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,"CC BY 3.0",https://creativecommons.org/licenses/by/3.0/,,,Y,Y,81.972936365705,25.28189321831
21327NP,NP,Nepal,21327,"Kayastha Sribastab","Kayastha Sribastab","Sribastab Kayastha",1200,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",431,"South Asia Hindu - Kayastha",1140200,1,Y,Y,1,303847,Kayastha,118155,awa,Awadhi,5,5,Hinduism,0.000,0.000,Y,"CC BY 3.0",https://creativecommons.org/licenses/by/3.0/,,,Y,Y,81.82573,28.09
12597ID,ID,Indonesia,12597,"Kayu Agung","Kayu Agung","Kayu Agung",23000,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",209,"Lampung of Sumatra",23000,1,Y,Y,1,303854,"Kayu Agung",104789,kge,Komering,3,6,Islam,0.100,0.022,Y,,,,,Y,Y,104.89015175,-3.4022504997608
12599AF,AF,Afghanistan,12599,Kazakh,Kazakh,Kazakh,3500,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",202,Kazakh,16736600,1,Y,Y,1,303856,Kazakh,104791,kaz,Kazakh,5,6,Islam,0.000,0.000,N,"CC BY-SA 3.0",https://creativecommons.org/licenses/by-sa/3.0/,,,Y,Y,69.12301,36.69403
12599AJ,AJ,Azerbaijan,12599,Kazakh,Kazakh,Kazakh,9400,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",202,Kazakh,16736600,1,Y,Y,1,303856,Kazakh,104791,kaz,Kazakh,5,6,Islam,0.090,0.000,N,"CC BY-SA 3.0",https://creativecommons.org/licenses/by-sa/3.0/,,,Y,Y,49.840265373348,40.408014439115
12599BE,BE,Belgium,12599,Kazakh,Kazakh,Kazakh,2600,EUR,Europe,10,"Europe, Western",N,24,"Turkic Peoples",202,Kazakh,16736600,1,Y,N,1,303856,Kazakh,104791,kaz,Kazakh,5,6,Islam,0.500,0.300,N,"CC BY-SA 3.0",https://creativecommons.org/licenses/by-sa/3.0/,,,Y,Y,3.773819,51.066433
12599BO,BO,Belarus,12599,Kazakh,Kazakh,Kazakh,2300,EUR,Europe,9,"Europe, Eastern and Eurasia",N,24,"Turkic Peoples",202,Kazakh,16736600,1,Y,Y,1,303856,Kazakh,104791,kaz,Kazakh,5,6,Islam,0.000,0.000,N,"CC BY-SA 3.0",https://creativecommons.org/licenses/by-sa/3.0/,,,Y,Y,31.249367,53.893719
12599CA,CA,Canada,12599,Kazakh,Kazakh,Kazakh,3400,NAR,"North America",12,"America, North and Caribbean",N,24,"Turkic Peoples",202,Kazakh,16736600,1,Y,N,1,303856,Kazakh,104791,kaz,Kazakh,5,6,Islam,0.200,0.150,N,"CC BY-SA 3.0",https://creativecommons.org/licenses/by-sa/3.0/,,,Y,Y,-79.3813,43.651
